10/3/2023, Rangers,4, Rays,0
10/3/2023, Blue Jays,1, Twins,3
10/3/2023, Diamondbacks,6, Brewers,3
10/3/2023, Marlins,1, Phillies,4
10/4/2023, Rangers,7, Rays,1
10/4/2023, Blue Jays,0, Twins,2
10/4/2023, Diamondbacks,5, Brewers,2
10/4/2023, Marlins,1, Phillies,7
10/7/2023, Rangers,3, Orioles,2
10/7/2023, Twins,4, Astros,6
10/7/2023, Phillies,3, Braves,0
10/7/2023, Diamondbacks,11, Dodgers,2
10/8/2023, Rangers,11, Orioles,8
10/8/2023, Twins,6, Astros,2
10/9/2023, Phillies,4, Braves,5
10/9/2023, Diamondbacks,4, Dodgers,2
10/10/2023, Astros,9, Twins,1
10/10/2023, Orioles,1, Rangers,7
10/11/2023, Braves,2, Phillies,10
10/11/2023, Astros,3, Twins,2
10/11/2023, Dodgers,2, Diamondbacks,4
10/12/2023, Braves,1, Phillies,3
10/15/2023, Rangers,2, Astros,0
10/16/2023, Rangers,5, Astros,4
10/16/2023, Diamondbacks,3, Phillies,5
10/17/2023, Diamondbacks,0, Phillies,10
10/18/2023, Astros,10,Rangers,5
10/19/2023, Phillies,1, Diamondbacks,2
10/19/2023, Astros,10, Rangers,3
10/20/2023, Astros,5, Rangers,4
10/20/2023, Phillies,5, Diamondbacks,6
10/21/2023, Phillies,6, Diamondbacks,1
10/22/2023, Rangers,9, Astros,2
10/23/2023, Diamondbacks,5, Phillies,1
10/23/2023, Rangers,11, Astros,4
10/24/2023, Diamondbacks,4, Phillies,2
10/27/2023, Diamondbacks,5, Rangers,6
10/28/2023, Diamondbacks,9, Rangers,1
10/30/2023, Rangers,3, Diamondbacks,1
10/31/2023, Rangers,11, Diamondbacks,7
11/1/2023, Rangers,5, Diamondbacks,0
